Major threat class,Abbreviated classification,Threat,Actinopterygii,Amphibia,Anthozoa,Aves,Chondrichthyes,Cycadopsida,Gastropoda,Hydrozoa,Liliopsida,Magnoliopsida,Malacostraca,Mammalia,Myxini,Pinopsida,Reptilia,Total
Biological resource use,Overexploitation,cat_threat_overexp,138,1569,401,1759,309,162,55,6,9,270,158,1109,6,206,84,6241
Agriculture & aquaculture,Agricultural activity,cat_threat_habitat,16,1759,0,1782,6,115,0,0,7,285,163,1049,0,139,86,5407
Residential & commercial development,Urban development,cat_threat_habitat,43,1062,401,559,41,26,13,6,16,155,185,467,0,31,9,3014
"Invasive & other problematic species, genes & diseases",Invasion & disease,cat_threat_inv_spec,26,668,401,674,0,9,0,6,2,29,126,303,0,48,6,2298
Pollution,Pollution,cat_threat_pollution,63,626,401,276,35,2,32,6,12,10,324,104,0,6,4,1901
Natural system modifications,System modification,cat_threat_habitat,40,481,0,620,12,41,1,0,3,66,141,315,0,121,24,1865
Climate change & severe weather,Climate change,cat_threat_climate,74,288,401,575,7,4,2,6,4,41,67,165,0,41,13,1688
Human intrusions and disturbance,Human disturbance,cat_threat_habitat,15,183,401,251,6,6,8,6,1,34,96,195,0,21,0,1223
Transportation & service corridors,Transportation,cat_threat_energytransport,15,173,401,308,10,10,1,6,4,47,44,184,0,14,2,1219
Energy production & mining,Energy production,cat_threat_energytransport,8,153,0,370,18,5,0,0,3,90,55,168,0,34,9,913
Geological events,NA,,1,50,0,34,0,1,0,0,0,5,0,23,0,7,1,122
Other options,NA,,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,10
