joint_cat,total,p
cat_threat_climate_energytransport,47449802,0.266520878108232
cat_threat_climate_habitat,64607489,0.36289392104624457
cat_threat_climate_inv_spec,1935494,0.010871479726158064
cat_threat_climate_overexp,19073439,0.10713363378889965
cat_threat_climate_pollution,12734718,0.07152966041503625
cat_threat_energytransport_habitat,6631964,0.03725109050744158
cat_threat_energytransport_inv_spec,425000,0.002387183263609795
cat_threat_energytransport_overexp,2531665,0.014220113687215746
cat_threat_energytransport_pollution,6434481,0.03614184788991816
cat_threat_habitat_inv_spec,517593,0.002907269051674317
cat_threat_habitat_overexp,9121830,0.05123642331645585
cat_threat_habitat_pollution,1475890,0.00828992919277426
cat_threat_inv_spec_overexp,1730031,0.009717414232296747
cat_threat_inv_spec_pollution,1432500,0.008046211823814192
cat_threat_overexp_pollution,1932194,0.010852943950228858
